Reference Number,Vessel  ID,Year,Segment,Size Category,Capacity (GT),Length,Capacity Index,Size Index, Total Number of vessels in Segment , Total Active Vessels in Segment , Total Engine Power (kW) for Segment-Size , Total Capacity (GT)  for Segment-Size , Average Length for Segment ,Total Jobs,FTE,  Fishing Income,Non Fishing Income,Total Income, Wages,Energy Costs (Fuel),Repairs & Maintenance,Filters/Lube Oil,Provisions,Ice,Dues & Levies,Sundry Variable Costs,Total Variable Costs,Insurance,Loan Interest,Accountancy,Legal Fees,Sundry fixed costs,Total Fixed Costs,TOTAL COSTS,GROSS PROFIT,Depreciation,Sundry receipts,Net Profit / (Loss)
1,29,2008,DTS,18-24,128.0,21.4,4.9,3.1,85,76,"31,631","11,163",21.3,5.0,5.0,"€249,304",,"€249,304","€61,449","€59,487","€92,954",,"€6,743","€2,800",,"€1,540","€224,973","€13,000","€47,259","€2,250","€3,356","€17,974","€83,839","€308,812","-€59,508","€38,384",,"-€97,892"
2,190,2008,TM,40-70,774.1,44.7,6.7,3.8,20,20,"39,750","27,208",56.2,14.0,7.5,,"€2,925,000","€2,925,000",,,,,,,,"€47,952","€47,952",,"€699,422","€10,500","€17,025","€35,343","€762,290","€810,242","€2,114,758","€1,669,320","€28,375","€473,813"
3,398,2008,FPO,00-10,4.5,9.4,1.5,2.2,"1,034",818,"24,012","2,311",6.7,2.0,1.0,"€14,502",,"€14,502",,"€3,850",€300,,,,,"€2,800","€6,950",,,,,€500,€500,"€7,450","€7,052",,,"€7,052"
4,41,2008,DTS,18-24,127.4,23.0,4.8,3.1,85,76,"31,631","11,163",21.3,3.0,3.0,"€402,828",,"€402,828","€35,763","€215,922","€65,688",,"€23,394","€4,515",,"€2,227","€347,509","€19,200","€36,519","€3,288","€8,839","€11,935","€79,781","€427,290","-€24,462","€66,049","€5,000","-€85,511"
5,310,2008,DTS,18-24,121.0,17.5,4.8,2.9,85,76,"31,631","11,163",21.3,5.0,5.0,"€517,593",,"€517,593","€74,752","€120,089","€74,606",,"€116,730",,"€1,057","€124,742","€511,977","€22,256","€36,503","€8,000",,"€37,906","€104,665","€616,642","-€99,049","€50,547",€72,"-€149,523"
6,564,2008,FPO,00-10,3.3,8.0,1.2,2.1,"1,034",818,"24,012","2,311",6.7,2.0,1.5,€16,,€16,,"€1,450",€350,,,,,€750,"€2,550",,,,,€0,€0,"€2,550","-€2,534",,,"-€2,534"
7,402,2008,FPO,00-10,1.1,5.2,0.1,1.7,"1,034",818,"24,012","2,311",6.7,2.0,1.5,"€7,935",,"€7,935",,€656,,,,,,€140,€796,,,,,€300,€300,"€1,096","€6,839",,,"€6,839"
8,363,2008,FPO,00-10,12.0,10.2,2.5,2.3,"1,034",818,"24,012","2,311",6.7,2.0,1.0,"€46,526",,"€46,526",,€50,€600,,,,"€1,800",€0,"€2,450","€3,800",,,,€300,"€4,100","€6,550","€39,976",,,"€39,976"
9,391,2008,TM,40-70,"1,137.8",51.7,7.0,3.9,20,20,"39,750","27,208",56.2,14.0,14.0,"€3,984,802","€16,786","€4,001,588","€895,802","€411,214",,,"€85,064",,"€69,027","€166,515","€1,627,622","€84,712","€218,214","€14,000","€190,784","€1,460,693","€1,968,403","€3,596,025","€405,563","€1,122,146",,"-€716,583"
10,214,2008,DTS,12-18,41.4,17.2,3.7,2.8,70,57,"10,867","2,680",14.8,2.0,2.0,"€133,102",,"€133,102","€16,715","€36,582","€10,813",,"€3,115","€3,274",€580,"€10,818","€81,897","€12,468","€2,592","€1,250",,"€2,900","€19,210","€101,107","€31,995","€4,453",,"€27,542"
