vid,Year,value.S1,value.S10,value.S100,value.S101,value.S102,value.S103,value.S11,value.S12,value.S13,value.S14,value.S15,value.S16,value.S17,value.S18,value.S19,value.S2,value.S20,value.S21,value.S22,value.S23,value.S24,value.S25,value.S26,value.S27,value.S28,value.S29,value.S3,value.S30,value.S31,value.S32,value.S33,value.S34,value.S35,value.S36,value.S37,value.S38,value.S39,value.S4,value.S40,value.S41,value.S42,value.S43,value.S44,value.S45,value.S46,value.S47,value.S48,value.S49,value.S5,value.S50,value.S51,value.S52,value.S53,value.S54,value.S55,value.S56,value.S57,value.S58,value.S59,value.S6,value.S60,value.S61,value.S62,value.S63,value.S64,value.S65,value.S66,value.S67,value.S68,value.S69,value.S7,value.S70,value.S71,value.S72,value.S73,value.S74,value.S75,value.S76,value.S77,value.S78,value.S79,value.S8,value.S80,value.S81,value.S82,value.S83,value.S84,value.S85,value.S86,value.S87,value.S88,value.S89,value.S9,value.S90,value.S91,value.S92,value.S93,value.S94,value.S95,value.S96,value.S97,value.S98,value.S99
3,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2519113.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1848750.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4485876.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1463288.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4413824.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764312.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855288.9607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882333.4623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1447324.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
