Order,LotFrontage,LotArea,Street,LotConfig,LandSlope,BldgType,OverallQual,OverallCond,YearBuilt,BsmtQual,TotalBsmtSF,Heating,HeatingQC,CentralAir,x1stFlrSF,x2ndFlrSF,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageArea,GarageQual,WoodDeckSF,PoolArea,MoSold,YrSold,SalePrice,Salecat
1,141,31770,Pave,Corner,Gtl,1Fam,6,5,1960,TA,1080,GasA,Fa,Y,1656,0,1,0,3,1,TA,7,2,Gd,Attchd,528,TA,210,0,5,2010,215000,1
2,80,11622,Pave,Inside,Gtl,1Fam,5,6,1961,TA,882,GasA,TA,Y,896,0,1,0,2,1,TA,5,0,NA,Attchd,730,TA,140,0,6,2010,105000,0
3,81,14267,Pave,Corner,Gtl,1Fam,6,6,1958,TA,1329,GasA,TA,Y,1329,0,1,1,3,1,Gd,6,0,NA,Attchd,312,TA,393,0,6,2010,172000,1
4,93,11160,Pave,Corner,Gtl,1Fam,7,5,1968,TA,2110,GasA,Ex,Y,2110,0,2,1,3,1,Ex,8,2,TA,Attchd,522,TA,0,0,4,2010,244000,1
5,74,13830,Pave,Inside,Gtl,1Fam,5,5,1997,Gd,928,GasA,Gd,Y,928,701,2,1,3,1,TA,6,1,TA,Attchd,482,TA,212,0,3,2010,189900,1
6,78,9978,Pave,Inside,Gtl,1Fam,6,6,1998,TA,926,GasA,Ex,Y,926,678,2,1,3,1,Gd,7,1,Gd,Attchd,470,TA,360,0,6,2010,195500,1
7,41,4920,Pave,Inside,Gtl,TwnhsE,8,5,2001,Gd,1338,GasA,Ex,Y,1338,0,2,0,2,1,Gd,6,0,NA,Attchd,582,TA,0,0,4,2010,213500,1
8,43,5005,Pave,Inside,Gtl,TwnhsE,8,5,1992,Gd,1280,GasA,Ex,Y,1280,0,2,0,2,1,Gd,5,0,NA,Attchd,506,TA,0,0,1,2010,191500,1
9,39,5389,Pave,Inside,Gtl,TwnhsE,8,5,1995,Gd,1595,GasA,Ex,Y,1616,0,2,0,2,1,Gd,5,1,TA,Attchd,608,TA,237,0,3,2010,236500,1
10,60,7500,Pave,Inside,Gtl,1Fam,7,5,1999,TA,994,GasA,Gd,Y,1028,776,2,1,3,1,Gd,7,1,TA,Attchd,442,TA,140,0,6,2010,189000,1
11,75,10000,Pave,Corner,Gtl,1Fam,6,5,1993,Gd,763,GasA,Gd,Y,763,892,2,1,3,1,TA,7,1,TA,Attchd,440,TA,157,0,4,2010,175900,1
12,,7980,Pave,Inside,Gtl,1Fam,6,7,1992,Gd,1168,GasA,Ex,Y,1187,0,2,0,3,1,TA,6,0,NA,Attchd,420,TA,483,0,3,2010,185000,1
13,63,8402,Pave,Inside,Gtl,1Fam,6,5,1998,Gd,789,GasA,Gd,Y,789,676,2,1,3,1,TA,7,1,Gd,Attchd,393,TA,0,0,5,2010,180400,1
14,85,10176,Pave,Inside,Gtl,1Fam,7,5,1990,Gd,1300,GasA,Gd,Y,1341,0,1,1,2,1,Gd,5,1,Po,Attchd,506,TA,192,0,2,2010,171500,1
15,,6820,Pave,Corner,Gtl,TwnhsE,8,5,1985,Gd,1488,GasA,TA,Y,1502,0,1,1,1,1,Gd,4,0,NA,Attchd,528,TA,0,0,6,2010,212000,1
16,47,53504,Pave,CulDSac,Mod,1Fam,8,5,2003,Gd,1650,GasA,Ex,Y,1690,1589,3,1,4,1,Ex,12,1,Gd,BuiltIn,841,TA,503,0,6,2010,538000,1
17,152,12134,Pave,Inside,Mod,1Fam,8,7,1988,Gd,559,GasA,Gd,Y,1080,672,2,0,4,1,TA,8,0,NA,Basment,492,TA,325,0,6,2010,164000,1
18,88,11394,Pave,Corner,Gtl,1Fam,9,2,2010,Ex,1856,GasA,Ex,Y,1856,0,1,1,1,1,Ex,8,1,Ex,Attchd,834,TA,113,0,6,2010,394432,1
19,140,19138,Pave,Corner,Gtl,1Fam,4,5,1951,TA,864,GasA,Ex,Y,864,0,1,0,2,1,TA,4,0,NA,Detchd,400,TA,0,0,6,2010,141000,0
20,85,13175,Pave,Inside,Gtl,1Fam,6,6,1978,Gd,1542,GasA,TA,Y,2073,0,2,0,3,1,TA,7,2,TA,Attchd,500,TA,349,0,2,2010,210000,1
21,105,11751,Pave,Inside,Gtl,1Fam,6,6,1977,Gd,1844,GasA,Ex,Y,1844,0,2,0,3,1,TA,7,1,TA,Attchd,546,TA,0,0,1,2010,190000,1
22,85,10625,Pave,Inside,Gtl,1Fam,7,6,1974,Gd,1053,GasA,TA,Y,1173,0,2,0,3,1,Gd,6,2,TA,Attchd,528,TA,0,0,1,2010,170000,1
23,,7500,Pave,Inside,Gtl,1Fam,7,5,2000,Gd,814,GasA,Ex,Y,814,860,2,1,3,1,Gd,7,0,NA,Attchd,663,TA,0,0,1,2010,216000,1
24,,11241,Pave,CulDSac,Gtl,1Fam,6,7,1970,TA,1004,GasA,Ex,Y,1004,0,1,0,2,1,TA,5,1,TA,Attchd,480,TA,0,0,3,2010,149000,0
25,,12537,Pave,CulDSac,Gtl,1Fam,5,6,1971,TA,1078,GasA,Ex,Y,1078,0,1,1,3,1,TA,6,1,Fa,Attchd,500,TA,0,0,4,2010,149900,0
26,65,8450,Pave,Inside,Gtl,1Fam,5,6,1968,TA,1056,GasA,Ex,Y,1056,0,1,0,3,1,TA,6,1,Fa,Attchd,304,TA,0,0,7,2010,142000,0
27,70,8400,Pave,Corner,Gtl,1Fam,4,5,1970,TA,882,GasA,TA,Y,882,0,1,0,2,1,TA,4,0,NA,Attchd,525,TA,240,0,4,2010,126000,0
28,70,10500,Pave,FR2,Gtl,1Fam,4,5,1971,TA,864,GasA,TA,Y,864,0,1,0,3,1,TA,5,1,Po,NA,0,NA,0,0,4,2010,115000,0
29,26,5858,Pave,FR2,Gtl,TwnhsE,7,5,1999,Gd,1405,GasA,Ex,Y,1337,0,2,0,2,1,Gd,5,1,Fa,Attchd,511,TA,203,0,6,2010,184000,1
30,21,1680,Pave,Inside,Gtl,Twnhs,6,5,1971,TA,483,GasA,TA,Y,483,504,1,1,2,1,TA,5,0,NA,Detchd,264,TA,275,0,2,2010,96000,0
31,21,1680,Pave,Inside,Gtl,Twnhs,5,5,1971,TA,525,GasA,TA,Y,525,567,1,1,3,1,TA,6,0,NA,Detchd,320,TA,0,0,3,2010,105500,0
32,21,1680,Pave,Inside,Gtl,Twnhs,6,5,1971,TA,525,GasA,TA,Y,525,567,1,1,3,1,TA,6,0,NA,Detchd,264,TA,0,0,3,2010,88000,0
33,53,4043,Pave,Inside,Gtl,TwnhsE,6,5,1977,Gd,1069,GasA,TA,Y,1069,0,2,0,2,1,TA,4,1,Fa,Attchd,440,TA,0,0,7,2010,127500,0
34,24,2280,Pave,FR2,Gtl,Twnhs,6,6,1975,TA,855,GasA,TA,Y,855,601,2,1,3,1,Gd,6,1,TA,Attchd,440,TA,173,0,6,2010,149900,0
35,24,2280,Pave,FR2,Gtl,Twnhs,7,6,1975,Gd,836,GasA,Ex,Y,836,0,1,0,2,1,TA,4,0,NA,Attchd,308,TA,0,0,6,2010,120000,0
36,24,2280,Pave,Inside,Gtl,Twnhs,6,5,1978,Gd,855,GasA,Fa,Y,855,601,2,1,3,1,TA,7,1,TA,Attchd,440,TA,26,0,7,2010,146000,0
37,102,12858,Pave,Inside,Gtl,1Fam,9,5,2009,Ex,1590,GasA,Ex,Y,1627,707,2,1,3,1,Ex,10,1,Gd,Attchd,751,TA,144,0,1,2010,376162,1
38,98,11478,Pave,Inside,Gtl,1Fam,8,5,2007,Ex,1704,GasA,Ex,Y,1704,0,2,0,3,1,Gd,7,1,Gd,Attchd,772,TA,0,0,5,2010,306000,1
39,83,10159,Pave,Inside,Gtl,1Fam,9,5,2009,Ex,1930,GasA,Ex,Y,1940,0,2,1,3,1,Ex,8,1,Gd,Attchd,606,TA,168,0,4,2010,395192,1
40,94,12883,Pave,Corner,Gtl,1Fam,8,5,2009,Gd,1544,GasA,Ex,Y,1544,0,2,0,3,1,Gd,7,0,NA,Attchd,868,TA,0,0,6,2010,290941,1
41,95,12182,Pave,Corner,Gtl,1Fam,7,5,2005,Gd,1541,GasA,Ex,Y,1541,0,2,0,3,1,Gd,7,1,Gd,Attchd,532,TA,0,0,5,2010,220000,1
42,90,11520,Pave,Inside,Gtl,1Fam,9,5,2005,Ex,1698,GasA,Ex,Y,1698,0,2,0,3,1,Ex,7,1,Gd,Attchd,730,TA,192,0,6,2010,275000,1
43,79,14122,Pave,Inside,Gtl,1Fam,8,5,2005,Ex,1822,GasA,Ex,Y,1822,0,2,0,3,1,Ex,8,1,Gd,Attchd,678,TA,0,0,2,2010,259000,1
44,70,10171,Pave,Inside,Gtl,1Fam,7,5,2004,Gd,1517,GasA,Ex,Y,1535,0,2,0,3,1,Gd,7,0,NA,Attchd,532,TA,0,0,3,2010,214000,1
45,100,12919,Pave,Inside,Gtl,1Fam,9,5,2009,Ex,2330,GasA,Ex,Y,2364,0,2,1,2,1,Ex,11,2,Gd,Attchd,820,TA,0,0,3,2010,611657,1
46,44,6371,Pave,Inside,Gtl,TwnhsE,7,5,2009,Gd,1358,GasA,Ex,Y,1358,0,2,0,2,1,Gd,6,1,Gd,Attchd,484,TA,192,0,6,2010,224000,1
47,110,14300,Pave,Inside,Mod,1Fam,9,5,2003,Ex,2846,GasA,Ex,Y,2696,0,2,1,3,1,Ex,10,2,Gd,Attchd,958,TA,220,0,6,2010,500000,1
48,105,13650,Pave,Corner,Gtl,1Fam,8,5,2002,Gd,1671,GasA,Ex,Y,1687,563,2,1,3,1,Gd,7,1,Ex,Attchd,756,TA,238,0,6,2010,320000,1
49,61,7658,Pave,Inside,Gtl,TwnhsE,9,5,2005,Ex,1752,GasA,Ex,Y,1752,0,2,0,2,1,Ex,6,1,Gd,Attchd,576,TA,196,0,2,2010,319900,1
50,41,7132,Pave,Inside,Gtl,TwnhsE,8,5,2006,Gd,1370,GasA,Ex,Y,1370,0,2,0,2,1,Gd,6,1,Gd,Attchd,484,TA,120,0,4,2010,205000,1
51,36,2628,Pave,Inside,Gtl,Twnhs,7,5,2003,Gd,764,GasA,Ex,Y,764,862,2,1,2,1,Gd,6,0,NA,BuiltIn,474,TA,0,0,6,2010,175500,1
52,100,18494,Pave,Corner,Gtl,1Fam,6,5,2005,Gd,1324,GasA,Ex,Y,1324,0,2,0,3,1,Gd,6,0,NA,Attchd,430,TA,36,0,1,2010,199500,1
53,43,3203,Pave,Inside,Gtl,TwnhsE,7,5,2006,Gd,1145,GasA,Ex,Y,1145,0,2,0,2,1,Gd,6,0,NA,Attchd,437,TA,100,0,1,2010,160000,1
54,43,3182,Pave,Inside,Gtl,TwnhsE,8,5,2004,Gd,1256,GasA,Ex,Y,1269,0,2,0,2,1,Gd,6,1,TA,Attchd,430,TA,146,0,4,2010,192000,1
55,67,13300,Pave,Inside,Gtl,1Fam,7,5,2004,Gd,384,GasA,Ex,Y,744,630,2,1,3,1,Gd,7,1,Gd,BuiltIn,400,TA,100,0,6,2010,184500,1
56,,7851,Pave,Inside,Gtl,1Fam,6,5,2002,Gd,860,GasA,Ex,Y,860,1100,2,1,4,1,Gd,8,2,TA,BuiltIn,440,TA,288,0,5,2010,216500,1
57,63,8577,Pave,Inside,Gtl,1Fam,7,5,2004,Gd,847,GasA,Ex,Y,847,886,2,1,3,1,Gd,7,1,Gd,BuiltIn,433,TA,144,0,4,2010,185088,1
58,,7750,Pave,Inside,Gtl,1Fam,7,5,2000,Gd,384,GasA,Ex,Y,774,656,2,1,3,1,TA,7,1,TA,BuiltIn,400,TA,180,0,4,2010,180000,1
59,,9505,Pave,CulDSac,Gtl,1Fam,7,5,2001,Gd,884,GasA,Ex,Y,884,1151,2,1,3,1,Gd,8,1,Gd,BuiltIn,434,TA,144,0,5,2010,222500,1
60,108,14774,Pave,Corner,Gtl,1Fam,9,5,1999,Gd,1393,GasA,Ex,Y,1422,1177,2,1,4,1,Gd,10,1,TA,BuiltIn,779,TA,668,0,5,2010,333168,1
61,60,17433,Pave,CulDSac,Gtl,1Fam,8,5,1998,Ex,1629,GasA,Ex,Y,1645,830,2,1,4,1,Gd,7,1,TA,Attchd,962,TA,23,0,1,2010,355000,1
62,59,10593,Pave,Inside,Gtl,1Fam,7,5,1996,Gd,1720,GasA,Ex,Y,1720,0,2,0,3,1,Gd,7,1,TA,Attchd,527,TA,240,0,3,2010,260400,1
63,98,12256,Pave,Corner,Gtl,1Fam,8,5,1994,Ex,1463,GasA,Ex,Y,1500,1122,2,1,3,1,Gd,9,2,TA,Attchd,712,TA,186,0,4,2010,325000,1
